"Nestlé Fitness z kawałkami ciasteczek Batonik zbożowy 23,5 g","1,39 zł"
"Nestlé Fitness z truskawkami Batonik zbożowy 23,5 g","1,39 zł"
Nestlé Musli z czekoladą Batonik zbożowy 160 g (4 sztuki),"5,99 zł"
Nestlé Musli z czekoladą Batonik zbożowy 40 g,"1,79 zł"
Nestlé Musli z czekoladą i rodzynkami Batonik zbożowy 40 g,"1,79 zł"
Nestlé Musli z truskawkami Batonik zbożowy 40 g,"1,79 zł"
Nestlé Musli z wiśniami Batonik zbożowy 160 g (4 sztuki),"5,99 zł"
Nestlé Musli z wiśniami Batonik zbożowy 40 g,"1,79 zł"
Nestlé Nesquik Batonik zbożowy 25 g,"1,29 zł"
Nestlé Nesquik Maxi Choco Batonik zbożowy 25 g,"1,29 zł"
Sante Baton musli z żurawiną i jagodami goji w polewie jogurtowej 40 g,"1,79 zł"
Sante Crunchy Baton zbożowy musli z dodatkiem bananów podlany czekoladą 35 g,"1,39 zł"
Sante Crunchy Baton zbożowy musli z owocami żurawiny i maliny 35 g,"1,39 zł"
Sante Crunchy Baton zbożowy musli z suszonymi owocami wiśni 35 g,"1,39 zł"
Sante Crunchy Baton zbożowy musli z suszonymi śliwkami 35 g,"1,39 zł"
Sante Orzechowy baton musli podlany czekoladą 40 g,"1,79 zł"
Alpen Gold Bąbolada biała Czekolada 80 g,"2,89 zł"
Alpen Gold Bąbolada mleczna Czekolada 80 g,"2,89 zł"
Alpen Gold Czekolada biała 90 g,"2,89 zł"
Alpen Gold Czekolada gorzka 90 g,"2,89 zł"
Alpen Gold Czekolada gorzka extra 90 g,"2,89 zł"
Alpen Gold Czekolada gorzka malinowa 100 g,"2,89 zł"
Alpen Gold Czekolada gorzka wiśniowa 100 g,"2,89 zł"
Alpen Gold Czekolada mleczna 90 g,"2,89 zł"
Alpen Gold Czekolada mleczna orzechowa 90 g,"2,89 zł"
Alpen Gold Czekolada mleczna orzechowo-rodzynkowa 90 g,"2,89 zł"
Alpen Gold Czekolada mleczna truskawkowa 100 g,"2,89 zł"
Alpen Gold Mleczna karmelowa Czekolada 100 g,"2,89 zł"
Alpen Gold Nussbeisser Czekolada biała z całymi orzechami 100 g,"3,99 zł"
Alpen Gold Nussbeisser Czekolada gorzka z całymi orzechami 100 g,"3,99 zł"
Alpen Gold Nussbeisser Czekolada mleczna z całymi orzechami laskowymi 100 g,"3,99 zł"
Alpen Gold Nussbeisser Czekolada mleczna z całymi orzechami laskowymi 220 g,"9,99 zł"
E. Wedel Bajeczny Czekolada mleczna nadziewana orzeszkami i wafelkami 4 x 100 g,"9,99 zł"
E. Wedel Bajeczny Czekolada mleczna nadziewana z orzeszkami i wafelkami 100 g,"2,99 zł"
E. Wedel Bajeczny Czekolada mleczna nadziewana z orzeszkami i wafelkami 290 g,"10,99 zł"
E. Wedel Czekolada biała 100 g,"2,99 zł"
E. Wedel Czekolada gorzka 100 g,"2,99 zł"
E. Wedel Czekolada gorzka 4 x 100 g,"9,99 zł"
E. Wedel Czekolada gorzka wiśniowa 100 g,"2,99 zł"
E. Wedel Czekolada mleczna 100 g,"2,99 zł"
E. Wedel Czekolada mleczna 4 x 100 g,"9,99 zł"
E. Wedel Czekolada mleczna malinowa 100 g,"2,99 zł"
E. Wedel Czekolada mleczna o smaku crème brûlée 289 g,"10,99 zł"
E. Wedel Czekolada mleczna o smaku panna cotta 287 g,"10,99 zł"
E. Wedel Czekolada mleczna o smaku tiramisu 293 g,"10,99 zł"
E. Wedel Czekolada mleczna toffi 100 g,"2,99 zł"
E. Wedel Czekolada mleczna truskawkowa 100 g,"2,99 zł"
E. Wedel Czekolada mleczna truskawkowa 4 x 100 g,"9,99 zł"
E. Wedel Czekolada mleczna z bakaliami 100 g,"2,99 zł"
E. Wedel Egzotyczny duet Czekolada mleczna czerwona pomarańcza i mango 100 g,"2,99 zł"
E. Wedel Karmellove! Czekolada karmelowa 90 g,"2,99 zł"
E. Wedel Leśny duet Czekolada mleczna jagodowa i poziomkowa 100 g,"2,99 zł"
E. Wedel Pierrot Czekolada mleczna nadziewana z orzeszkami 100 g,"2,99 zł"
E. Wedel Soczysty duet Czekolada mleczna brzoskwiniowa i żurawinowa 100 g,"2,99 zł"
E. Wedel WW Czekolada mleczna z wafelkami orzechowymi 235 g,"10,99 zł"
Goplana Klasyczna Gorzka Czekolada 90 g,"2,39 zł"
Goplana Klasyczna gorzka z bakaliami Czekolada 100 g,"2,89 zł"
Goplana Marcepanowa Czekolada gorzka nadziewana 90 g,"2,89 zł"
Goplana Oryginalna Mleczna Czekolada 100 g,"2,39 zł"
Goplana Oryginalna mleczna z fistaszkami Czekolada 100 g,"2,89 zł"
Goplana Oryginalna mleczna z rodzynkami Czekolada 100 g,"2,89 zł"
Heidi Dark Extreme Gorzka czekolada 85% 80 g,"6,99 zł"
Heidi Dark Intense Gorzka czekolada 75% 80 g,"6,99 zł"
Heidi Gourmet Cherry Gorzka czekolada 100 g,"8,99 zł"
Heidi Gourmet Orange Mleczna czekolada 100 g,"8,99 zł"
Heidi Grand΄Or Dark & Hazelnuts Czekolada gorzka 100 g,"6,99 zł"
Heidi Grand΄Or Florentine Czekolada mleczna 100 g,"6,99 zł"
Heidi Grand΄Or Milk & Almonds Mleczna czekolada 100 g,"6,99 zł"
Heidi Grand΄Or Milk & Hazelnuts Mleczna czekolada 100 g,"6,99 zł"
Heidi Grand΄Or White & Hazelnuts Biała czekolada 100 g,"6,99 zł"
Hibbi Mlekoladki Batoniki mleczne z nadzieniem o smaku śmietankowym 100 g (8 sztuk),"2,49 zł"
Kinder Chocolate Batoniki z mlecznej czekolady z nadzieniem mlecznym 100 g (8 batoników),"4,39 zł"
Lindt Cognac Czekolada mleczna z płynnym nadzieniem koniakowym 100 g,"10,49 zł"
Lindt Creation 70% Cherry & Chilli Gorzka czekolada nadziewana 150 g,"11,99 zł"
Lindt Creation 70% Mint Supreme Wyśmienita gorzka czekolada z nadzieniem 150 g,"11,99 zł"
Lindt Creation 70% Mousse Orange Gorzka czekolada nadziewana 150 g,"11,99 zł"
Lindt Creation Chocolate Cake Mleczna czekolada z delikatną ciemną truflą i sosem czekoladowym 150 g,"11,99 zł"
Lindt Creation Chocolate Mousse Gorzka czekolada nadziewana musem czekoladowym i truflami 150 g,"11,99 zł"
Lindt Creation Coffee Dream Ciemna czekolada nadziewana kremem migdałowym i kawowym 150 g,"11,99 zł"
Lindt Creation Crème Brûlée Wyśmienita mleczna czekolada z nadzieniem 150 g,"11,99 zł"
Lindt Creation Hazelnut De Luxe Wyśmienita mleczna czekolada nadziewana 150 g,"11,99 zł"
Lindt Creation Pistachio Delight Wyśmienita czekolada ciemna z nadzieniem 150 g,"11,99 zł"
Lindt Creation Tiramisu Wyśmienita czekolada mleczna z nadzieniem 150 g,"11,99 zł"
Lindt Excellence 70% Cocoa Czekolada ciemna 100 g,"8,69 zł"
Lindt Excellence 85% Cocoa Czekolada ciemna 100 g,"8,69 zł"
Lindt Excellence A Touch of Sea Salt Czekolada gorzka z solą morską 100 g,"8,69 zł"
Lindt Excellence Blueberry Intense Czekolada ciemna z migdałami i kawałkami borówki 100 g,"8,69 zł"
Lindt Excellence Caramel Ciemna czekolada z kawałkami karmelu i odrobiną soli morskiej 100 g,"8,69 zł"
Lindt Excellence Caramel Croquant Wyśmienita czekolada mleczna z chrupiącymi kawałkami karmelu 100 g,"8,69 zł"
Lindt Excellence Chili Szwajcarska czekolada ciemna z ekstraktem z papryki chili 100 g,"8,69 zł"
Lindt Excellence Extra Creamy Czekolada mleczna 100 g,"8,69 zł"
Lindt Excellence Intense Orange Czekolada ciemna z pomarańczą i migdałem 100 g,"8,69 zł"
Lindt Excellence Roasted Sesame Ciemna czekolada z prażonymi nasionami sezamu 100 g,"8,69 zł"
Lindt Excellence Strawberry Intense Ciemna czekolada z kawałkami truskawek 100 g,"8,69 zł"
Lindt Gold Szwajcarska mleczna czekolada z orzechami laskowymi 300 g,"21,99 zł"
Lindt Gold Szwajcarska mleczna czekolada z rodzynkami i orzechami laskowymi 300 g,"21,99 zł"
Lindt Lindor Czekolada mleczna z nadzieniem 100 g,"9,99 zł"
Lindt Pistache Czekolada mleczna nadziewana pistacjami 100 g,"10,49 zł"
Lindt Swiss Premium Szwajcarska czekolada mleczna 300 g,"21,99 zł"
Lindt Whisky Mleczna czekolada z nadzieniem z whisky 100 g,"10,49 zł"
Milka Czekolada Alpenmilch 300 g,"10,49 zł"
Milka Czekolada Alpine Milk 100 g,"3,59 zł"
Milka Czekolada Alpine Milk 250 g,"10,49 zł"
Milka Czekolada Bubbly Alpine Milk 100 g,"3,59 zł"
Milka Czekolada Bubbly Caramel 250 g,"10,49 zł"
Milka Czekolada Bubbly White 100 g,"3,59 zł"
Milka Czekolada Caramel 100 g,"3,59 zł"
Milka Czekolada Caramel 280 g,"10,49 zł"
Milka Czekolada Cherry Cream 100 g,"3,59 zł"
Milka Czekolada Choco Jelly 250 g,"10,49 zł"
Milka Czekolada Crispy Joghurt 300 g,"10,49 zł"
Milka Czekolada Daim 100 g,"3,59 zł"
Milka Czekolada Ganze Haselnüse 300 g,"10,49 zł"
Milka Czekolada Happy Cows 100 g,"3,59 zł"
Milka Czekolada Hazelnuts 100 g,"3,59 zł"
Milka Czekolada Oreo 100 g,"3,59 zł"
Milka Czekolada Raisin & Nut 100 g,"3,59 zł"
Milka Czekolada Raspberry Cream 100 g,"3,59 zł"
Milka Czekolada Strawberry Yoghurt 100 g,"3,59 zł"
Milka Czekolada Toffee Cream 100 g,"3,59 zł"
Milka Czekolada Toffee Wholenut 300 g,"10,49 zł"
Milka Czekolada Triolade 300 g,"10,49 zł"
Milka Czekolada Vanilla Cream 100 g,"3,59 zł"
Milka Czekolada White Chocolate 100 g,"3,59 zł"
Milka Czekolada Whole Nuts 250 g,"10,49 zł"
Milka Czekolada Yoghurt 100 g,"3,59 zł"
Milka Herbatnik Choco & Biscuit 300 g,"10,49 zł"
Milka Lu Czekolada mleczna z mleka alpejskiego z ciasteczkami 87 g,"3,59 zł"
Milka Oreo Herbatniki kakaowe i kremowe nadzienie o smaku waniliowym w czekoladzie mlecznej 300 g,"10,49 zł"
Milka Tuc Czekolada mleczna z mleka alpejskiego z solonymi krakersami 87 g,"3,59 zł"
Ritter Sport Biała czekolada z całymi orzechami laskowymi 100g,"4,99 zł"
Ritter Sport Czekolada deserowa z całymi orzechami laskowymi 100 g,"4,99 zł"
Ritter Sport Czekolada deserowa z nadzieniem marcepanowym 100g,"4,99 zł"
Ritter Sport Czekolada mleczna alpejska 100g,"4,99 zł"
Ritter Sport Czekolada mleczna nadziewana kawowym kremem 100 g,"4,99 zł"
Ritter Sport Czekolada mleczna z całymi migdałami 100 g,"4,99 zł"
Ritter Sport Czekolada mleczna z całymi orzechami laskowymi 100g,"4,99 zł"
Ryelands Chocolates Czekolada biała i czekolada mleczna 100 g,"1,65 zł"
Ryelands Chocolates Czekolada biała z drażami kakaowymi 100 g,"1,65 zł"
Ryelands Chocolates Czekolada deserowa 100 g,"1,49 zł"
Ryelands Chocolates Czekolada mleczna z nadzieniem o smaku karmelowym 100 g,"1,65 zł"
Ryelands Chocolates Czekolada mleczna z nadzieniem o smaku miętowym 100 g,"1,65 zł"
Ryelands Chocolates Czekolada mleczna z nadzieniem o smaku truskawkowym 100 g,"1,65 zł"
Terravita Bakaliowa Czekolada mleczna 165 g,"5,59 zł"
Terravita Gorzka Czekolada 100 g,"2,69 zł"
Terravita Kawowa Czekolada biało-czarna 100 g,"2,69 zł"
Terravita Mleczna Czekolada 100 g,"2,69 zł"
Terravita Mleczna Czekolada 165 g,"5,59 zł"
Terravita Mleczna Czekolada 225 g,"7,49 zł"
Terravita Tiramisu Czekolada nadziewana 100 g,"2,69 zł"
Terravita Truflowa Czekolada nadziewana 100 g,"2,69 zł"
Terravita z Bakaliami Czekolada mleczna 225 g,"7,49 zł"
Terravita z Orzechami Czekolada mleczna 225 g,"7,49 zł"
Tesco Czekolada biała 100 g,"2,69 zł"
Tesco Czekolada mleczna 100 g,"2,69 zł"
Tesco Czekolada mleczna z całymi orzechami 100 g,"3,19 zł"
Tesco Czekolada mleczna z kawałkami orzechów laskowych 100 g,"2,69 zł"
Tesco Czekolada mleczna z rodzynkami i kawałkami orzechów laskowych 100 g,"2,69 zł"
Tesco Value Wyrób czekoladopodobny deserowy 100 g,"1,29 zł"
Tesco Value Wyrób czekoladopodobny mleczny 100 g,"1,19 zł"
Tesco Value Wyrób czekoladopodobny mleczny z orzeszkami ziemnymi 100 g,"1,29 zł"
Tesco Value Wyrób czekoladopodobny mleczny z orzeszkami ziemnymi i rodzynkami 100 g,"1,29 zł"
Wawel 70% Cocoa Czekolada gorzka klasyczna 100 g,"4,49 zł"
Wawel 90% Cocoa Czekolada gorzka extra 100 g,"4,39 zł"
Wawel Dark 70% Czekolada gorzka ze skórką pomarańczy 100 g,"4,39 zł"
Wawel Deserowa Czekolada 100 g,"2,89 zł"
Wawel Gorzka krakowska Czekolada 100 g,"2,89 zł"
Wawel Jagiellońska Czekolada mleczna 100 g,"2,20 zł"
Wawel Jagodowa Czekolada deserowa nadziewana 100 g,"2,89 zł"
Wawel Karmelowa Czekolada deserowa nadziewana 100 g,"2,89 zł"
Wawel Kasztanki kakaowe z wafelkami Czekolada nadziewana 100 g,"2,29 zł"
Wawel Krówkowa Czekolada mleczna z nadzieniem karmelowym 100 g,"2,20 zł"
Wawel Malaga śmietankowa z rodzynkami Czekolada nadziewana 102 g,"2,29 zł"
Wawel Michałki Zamkowe Czekolada nadziewana 102 g,"2,20 zł"
Wawel Miętowa Czekolada nadziewana 100 g,"2,20 zł"
Wawel Mleczna z chrupiącym karmelem Czekolada nadziewana 290 g,"9,99 zł"
Wawel Mleczna z ciasteczkami Petit Beurre Czekolada 100 g,"2,89 zł"
Wawel Superior Gorzka czekolada z jagodami 100 g,"4,49 zł"
Wawel Tiki Taki kokosowo-orzechowe Czekolada nadziewana 100 g,"2,29 zł"
Wawel Tiramisu Czekolada nadziewana 282 g,"9,99 zł"
Wawel Toffi Czekolada mleczna nadziewana 100 g,"2,89 zł"
Wawel Truskawkowa Mleczna czekolada nadziewana 295 g,"9,99 zł"
Wawel Wiśnia i Chili Czekolada deserowa 100 g,"4,49 zł"
Deniz Chałwa kakaowa 1 kg,"10,90 zł"
Deniz Chałwa waniliowa 1 kg,"10,90 zł"
"E. Wedel Aha! Sezamki 27,2 g","1,25 zł"
E. Wedel Chałwa Królewska o smaku waniliowym 50 g,"2,19 zł"
E. Wedel Chałwa Królewska o smaku waniliowym z kakao 50 g,"2,19 zł"
Odra Chałwa sezamowa o smaku waniliowym 250 g,"7,49 zł"
Odra Chałwa sezamowa z bakaliami 250 g,"7,49 zł"
Odra Halva Torcik chałwowy o smaku waniliowym z orzechami laskowymi 400 g,"10,99 zł"
Tesco Value Sezamki 81 g (3 sztuki),"1,49 zł"
Twoje Ulubione Chałwa sezamowa o smaku waniliowo-kakaowym 50 g,"0,99 zł"
Twoje Ulubione Chałwa sezamowa o smaku waniliowym 50 g,"0,99 zł"
Twoje Ulubione Chałwa sezamowa z orzechami 50 g,"0,99 zł"
Unitop-Optima Chałwa sezamowa o smaku waniliowym 500 g,"8,99 zł"
After Eight Czekoladki deserowe z nadzieniem o smaku miętowym 200 g,"11,99 zł"
After Eight Czekoladki deserowe z nadzieniem o smaku miętowym 400 g,"20,99 zł"
Bałtyk Likworki gdańskie 180 g,"6,99 zł"
Baron Kocie Języczki Czekoladki mleczne 100 g,"3,79 zł"
Baron Sweet Obsession Kolekcja czekoladek 250 g,"7,29 zł"
Bella Vista Kolekcja czekoladek premium 216 g,"12,49 zł"
Charlotte Czekoladki nadziewane z orzechami laskowymi 225 g,"9,99 zł"
Charlotte Czekoladki z brandy 250 g,"7,49 zł"
Charlotte Czekoladki z nadzieniem o smaku kawy ze śmietanką 226 g,"9,99 zł"
Charlotte Czekoladki z nadzieniem o smaku marcepanowym i nugatowym 228 g,"9,99 zł"
Charlotte Czekoladki z wiśniami w alkoholu 232 g,"9,99 zł"
Charlotte Kulki waflowe z kremem kokosowym i migdałem posypane wiórkami kokosowymi 150 g,"8,99 zł"
Charlotte Malaga Rodzynki z alkoholem w czekoladzie 190 g,"6,79 zł"
Charlotte Mieszanka belgijskich czekoladek z nadzieniem pralinowym 250 g,"9,99 zł"
Charlotte Mieszanka nadziewanych pralinek 400 g,"9,99 zł"
Charlotte Śliwki kandyzowane w czekoladzie 190 g,"6,79 zł"
Charlotte Wiśnie z alkoholem w czekoladzie 190 g,"6,79 zł"
Czekoladki mleczne z mleka alpejskiego z nadzieniem migdałowym I Love Milka 110 g,"9,99 zł"
Doulton Liqueur Chocolates Teacher's Blended Scotch Whisky Pralinki 200 g,"8,99 zł"
E. Wedel Baryłki z alkoholem w czekoladzie deserowej 200 g,"15,49 zł"
E. Wedel Pasjonata Classic Milk Collection Czekoladki mleczne nadziewane 201 g,"13,99 zł"
E. Wedel Ptasie Mleczko czekoladowe 380 g,"11,99 zł"
E. Wedel Ptasie Mleczko Rajska Wyspa o smaku kokosowym w mocno mlecznej czekoladzie 380 g,"11,99 zł"
E. Wedel Ptasie Mleczko śmietankowe 380 g,"11,99 zł"
E. Wedel Ptasie Mleczko waniliowe 380 g,"11,99 zł"
E. Wedel Torcik Wedlowski 250 g,"12,99 zł"
Fazer Dumle Original Miękkie toffi w czekoladzie mlecznej 120 g,"6,99 zł"
Fazer Dumle Snacks Original Czekolada mleczna z chrupkami ryżowymi i nadzieniem karmelowym 175 g,"11,99 zł"
Fazer Geisha Czekoladki mleczne z delikatnym orzechowym nadzieniem 150 g,"12,99 zł"
Ferrero Collection Zestaw smakołyków Ferrero Rondnoir Ferrero Rocher i Raffaello 269 g,"32,99 zł"
Ferrero Collection Zestaw smakołyków Ferrero Rondnoir Ferrero Rocher Raffaello 172 g,"21,99 zł"
Ferrero Prestige Zestaw smakołyków Ferrero Rocher Pocket Coffee Mon Chéri 246 g,"26,49 zł"
Ferrero Rocher Chrupiący smakołyk z kremowym nadzieniem i orzechem laskowym w czekoladzie 200 g,"18,99 zł"
Ferrero Rocher Chrupiący smakołyk z kremowym nadzieniem i orzechem laskowym w czekoladzie 375 g,"34,99 zł"
Jutrzenka Mella Galaretka w czekoladzie o smaku pomarańczowym 190 g,"5,79 zł"
Kinder Bueno Mini Baton z orzechowym nadzieniem w kruchym waflu oblanym mleczną czekoladą 108 g,"7,99 zł"
Lindt Creation Dessert Pralinki z czekolady mlecznej ciemnej i białej 170 g,"39,90 zł"
Lindt Lindor Extra Dark Pralinki z czekolady gorzkiej z nadzieniem 98 g,"11,49 zł"
Lindt Lindor Kolekcja smaków Pralinki czekoladowe z nadzieniem 150 g,"21,99 zł"
Lindt Lindor Kolekcja smaków Pralinki czekoladowe z nadzieniem 250 g,"34,99 zł"
Lindt Lindor Kolekcja smaków Pralinki z czekolady mlecznej z nadzieniem 175 g,"19,99 zł"
Lindt Lindor Milk Pralinki z czekolady mlecznej z nadzieniem 150 g,"21,99 zł"
Lindt Lindor Mleczna Pralinki z czekolady mlecznej z nadzieniem 100 g,"11,49 zł"
Lindt Lindor Mleczna Pralinki z czekolady mlecznej z nadzieniem 175 g,"19,99 zł"
Mars Miniatures Batoniki z nugatowym nadzieniem oblane karmelem i czekoladą 260 g,"13,49 zł"
Merci Finest Selection Kolekcja czekoladek 250 g,"13,69 zł"
Merci Finest Selection Kolekcja czekoladek 400 g,"28,99 zł"
Merci Finest Selection Kolekcja czekoladek deserowych 250 g,"13,69 zł"
Merci Finest Selection Kolekcja czekoladek mlecznych 250 g,"13,69 zł"
Merci Finest Selection Kolekcja czekoladek z migdałami 250 g,"13,69 zł"
Mieszko Cherrissimo Wiśnie w likierze 318 g,"18,99 zł"
Mieszko Cherrissimo Wiśnie w likierze w białej czekoladzie 295 g,"21,99 zł"
Mieszko Choco Amore Chocolate Pleasure Mieszanka czekoladek 300 g,"29,99 zł"
Mieszko Chocoladorro Czekoladki nadziewane 203 g,"17,99 zł"
Mieszko La Stella Czekoladowa Kolekcja Czekoladki nadziewane 162 g,"9,99 zł"
Mieszko Magnifique Mieszanka czekoladek 243 g,"19,99 zł"
Mieszko Marcepan Oryginalny Czekoladki marcepanowe 230 g,"8,99 zł"
Mieszko Marcepan Oryginalny Czekoladki marcepanowe 440 g,"13,99 zł"
Mieszko Michaszki Oryginalne Cukierki z orzechami 220 g,"8,99 zł"
Mieszko Michaszki Oryginalne Cukierki z orzechami w czekoladzie 260 g,"7,79 zł"
Mieszko Trufle francuskie o smaku czekolady 175 g,"10,99 zł"
Mieszko Trufle francuskie o smaku orzecha 175 g,"10,99 zł"
Mieszko Trufle Oryginalne Cukierki w czekoladzie z rodzynkami i rumem 230 g,"8,99 zł"
Mieszko Twój Sekret Czekoladki nadziewane 324 g,"18,99 zł"
Mieszko Wiśnie w likierze 268 g,"18,99 zł"
Mieszko Wiśnie w likierze 400 g,"27,99 zł"
Milka Alpejskie Mleczko Caramel Pianka o smaku waniliowym z nadzieniem karmelowym 350 g,"12,99 zł"
Milka Alpejskie Mleczko Pianka o smaku czekoladowym 330 g,"12,99 zł"
Milka Alpejskie Mleczko Pianka o smaku śmietankowym Happy Cows 330 g,"12,99 zł"
Milka Alpejskie Mleczko Pianka o smaku waniliowym 330 g,"12,99 zł"
Milka Crispello Choco Praliny nadziewane 140 g (14 sztuk),"10,99 zł"
Milka Crispello Vanille Praliny nadziewane 140 g (14 sztuk),"10,99 zł"
Milka Czekoladki mleczne z mleka alpejskiego z nadzieniem kakaowym Thank You 120 g,"9,99 zł"
"Milka Czekoladki mleczne z mleka alpejskiego z nadzieniem migdałowym I Love Milka 137,5 g","17,99 zł"
Milka Czekoladki z mleka alpejskiego z nadzieniem kakaowym o smaku wiśniowym Happy Birthday 110 g,"9,99 zł"
Milka Pudełko słodyczy 560 g,"29,99 zł"
"Mon Chéri Pralinki z czekolady z czereśnią w likierze 157,5 g","15,59 zł"
Raffaello Kokosowy smakołyk z chrupiącego wafelka z całym migdałem w środku 150 g,"11,49 zł"
Raffaello Kokosowy smakołyk z chrupiącego wafelka z całym migdałem w środku 230 g,"15,99 zł"
Ritter Sport Czekoladki mleczne i deserowe nadziewane 176 g (22 sztuki),"13,99 zł"
Ritter Sport Joghurt Czekoladki mleczne nadziewane 176 g (22 sztuki),"13,99 zł"
Ryelands Chocolates Bajeczne mleczko Duo z galaretką o smaku wiśniowym w czekoladzie 500 g,"7,49 zł"
Ryelands Chocolates Bajeczne mleczko o smaku czekoladowym w czekoladzie 420 g,"6,29 zł"
Ryelands Chocolates Bajeczne mleczko waniliowe w czekoladzie 500 g,"7,49 zł"
Snickers Miniatures Batonik z nugatowym nadzieniem orzeszkami ziemnymi w karmelu i czekoladzie 260 g,"13,49 zł"
Solidarność Czekoladki z Klasą Choco Choco Bombonierka 253 g,"13,99 zł"
Solidarność Czekoladowe Kreacje Praliny z aksamitnymi kremami Bombonierka metalowa 228 g,"31,99 zł"
Solidarność Czekoladowe Tajemnice Praliny z aksamitnymi kremami Bombonierka 238 g,"15,49 zł"
Solidarność Jolly baby Galaretki pektynowe z nadzieniem 500 g,"12,99 zł"
Solidarność Śliwka Nałęczowska w czekoladzie 350 g,"16,99 zł"
Solidarność Wiśnie w Likierze Bombonierka metalowa 393 g,"39,89 zł"
Solidarność Wiśnie w Likierze Czekoladki 200 g,"10,99 zł"
Solidarność Złote Czekoladowe Kreacje Czekoladki z aksamitnymi kremami Bombonierka 228 g,"16,99 zł"
Tesco Niebiańska Pianka czekoladowa 380 g,"8,99 zł"
Tesco Niebiańska Pianka waniliowa w czekoladzie 380 g,"8,99 zł"
Toffifee Orzech laskowy w karmelu kremie orzechowym i czekoladzie 125 g (15 sztuk),"6,99 zł"
Toffifee Orzech laskowy w karmelu kremie orzechowym i czekoladzie 400 g (48 sztuk),"20,99 zł"
Twix Miniatures Batoniki z ciastkami i karmelem oblane czekoladą 260 g,"13,49 zł"
Warner Hudson Pralinki z alkoholem 150 g,"9,99 zł"
Wawel Adwokat z kremem alkoholowym Czekoladki nadziewane 430 g,"13,99 zł"
Wawel Bakaliowe w czekoladzie Cukierki 260 g,"5,50 zł"
Wawel Kasztanki kakaowe z wafelkami Czekolada z nadzieniem 430 g,"13,99 zł"
Wawel Krówkowe Czekoladki mleczne nadziewane 430 g,"13,99 zł"
Wawel Malaga śmietankowa z rodzynkami Czekoladki nadziewane 430 g,"13,99 zł"
Wawel Michałki Białe Wyrób w białej polewie 500 g,"13,99 zł"
Wawel Michałki Klasyczne Cukierki w czekoladzie 500 g,"13,99 zł"
Wawel Michałki Kokosowe Cukierki w czekoladzie 280 g,"7,19 zł"
Wawel Mieszanka Krakowska Galaretki w czekoladzie 600 g,"11,99 zł"
Wawel Mix Michałków Mieszanka cukierków w czekoladzie i w białej polewie 800 g,"19,99 zł"
Wawel Śliwka w czekoladzie 300 g,"14,99 zł"
Wawel Tiki Taki kokosowo-orzechowe Czekolada z nadzieniem 430 g,"13,99 zł"
Bomilki Karmelki o smaku mlecznym 500 g,"7,69 zł"
